city,aqi,category,color_code
Birmingham-Hoover,16.855791962174944,Good,green
Anchorage,10.898919753086421,Good,green
Fairbanks,6.481481481481482,Good,green
JUNEAU,0.3472222222222222,Good,green
MATANUSKA-SUSITNA,10.243055555555555,Good,green
Sierra Vista-Douglas,15.711805555555555,Good,green
Payson,18.778935185185187,Good,green
GILA,24.65277777777778,Good,green
LA PAZ,15.56712962962963,Good,green
Phoenix-Mesa-Scottsdale,26.69451236077153,Good,green
MARICOPA,17.164351851851855,Good,green
Lake Havasu City-Kingman,16.087962962962962,Good,green
PIMA,34.96168582375479,Good,green
PINAL,27.87615740740741,Good,green
Nogales,15.277777777777779,Good,green
Yuma,38.773148148148145,Good,green
BUTTE,19.437321937321936,Good,green
CALAVERAS,20.747863247863247,Good,green
COLUSA,35.08547008547009,Good,green
Sacramento--Arden-Arcade--Roseville,19.924026590693252,Good,green
FRESNO,24.829059829059826,Good,green
GLENN,25.94729344729345,Good,green
HUMBOLDT,20.71759259259259,Good,green
El Centro,34.12457912457912,Good,green
Bishop,12.284313725490197,Good,green
Bakersfield,46.31944444444444,Good,green
Los Angeles-Long Beach-Santa Ana,35.67243472981178,Good,green
MARIPOSA,11.83048433048433,Good,green
MENDOCINO,19.791666666666668,Good,green
MONO,13.362268518518519,Good,green
MONTEREY,36.9212962962963,Good,green
RIVERSIDE,58.40877525252525,Moderate,yellow
Riverside-San Bernardino-Ontario,39.96843434343434,Good,green
San Jose-Sunnyvale-Santa Clara,27.256944444444443,Good,green
SAN BERNARDINO,37.96296296296296,Good,green
Stockton,15.671296296296294,Good,green
San Luis Obispo-Paso Robles,50.40196078431373,Good,green
SAN LUIS OBISPO,74.7300785634119,Moderate,yellow
Santa Barbara-Santa Maria,30.555555555555557,Good,green
Modesto,26.303418803418808,Good,green
Yuba City,26.41737891737892,Good,green
Visalia-Porterville,37.43589743589743,Good,green
Oxnard-Thousand Oaks-Ventura,37.38425925925926,Good,green
Denver-Aurora,15.416666666666668,Good,green
LARIMER,9.965277777777777,Good,green
Bridgeport-Stamford-Norwalk,10.046296296296294,Good,green
Hartford-West Hartford-East Hartford,12.488425925925927,Good,green
Torrington,8.657407407407407,Good,green
New Haven-Milford,8.512731481481483,Good,green
Norwich-New London,9.895833333333334,Good,green
WASHINGTON,32.34953703703704,Good,green
Jacksonville,23.47222222222223,Good,green
Palm Bay-Melbourne-Titusville,16.723646723646723,Good,green
Miami-Fort Lauderdale-Miami Beach,12.808641975308642,Good,green
DUVAL,33.14043209876543,Good,green
Tampa-St. Petersburg-Clearwater,29.047619047619047,Good,green
HILLSBOROUGH,26.598765432098766,Good,green
Lakeland,27.065527065527068,Good,green
PUTNAM,30.249287749287753,Good,green
Sarasota-Bradenton-Venice,22.905982905982903,Good,green
Macon,19.137731481481485,Good,green
Savannah,24.363425925925927,Good,green
Athens-Clarke County,20.474537037037035,Good,green
Atlanta-Sandy Springs-Marietta,17.20196759259259,Good,green
Augusta-Richmond County,13.315972222222221,Good,green
Gainesville,23.229166666666664,Good,green
Warner Robins,22.199074074074076,Good,green
Honolulu,11.330409356725147,Good,green
Boise City-Nampa,15.972222222222221,Good,green
Pocatello,93.10164141414143,Moderate,yellow
BONNER,21.238425925925927,Good,green
SHOSHONE,4.5717592592592595,Good,green
CLARK,20.925925925925927,Good,green
Chicago-Naperville-Joliet,9.204282407407408,Good,green
St. Louis,12.574074074074076,Good,green
Davenport-Moline-Rock Island,13.88888888888889,Good,green
Springfield,18.88888888888889,Good,green
Indianapolis,18.36226851851852,Good,green
BROWN,9.642857142857142,Good,green
Louisville,14.592013888888888,Good,green
Omaha-Council Bluffs,4.757343550446999,Good,green
MONTGOMERY,41.358024691358025,Good,green
Dodge City,21.52777777777778,Good,green
NEOSHO,33.31018518518518,Good,green
Wichita,54.6906734006734,Moderate,yellow
Topeka,12.754629629629628,Good,green
SHERMAN,20.538194444444443,Good,green
TREGO,16.22685185185185,Good,green
Kansas City,13.280141843971627,Good,green
Cincinnati-Middletown,14.658564814814815,Good,green
JEFFERSON,13.883101851851851,Good,green
AROOSTOOK,28.24074074074074,Good,green
Boston-Cambridge-Quincy,6.4467592592592595,Good,green
Detroit-Warren-Livonia,12.98611111111111,Good,green
Holland-Grand Haven,11.215277777777777,Good,green
Minneapolis-St. Paul-Bloomington,7.407407407407407,Good,green
HENNEPIN,9.98263888888889,Good,green
RAMSEY,12.38425925925926,Good,green
Jackson,47.806267806267805,Good,green
Columbia,21.097883597883598,Good,green
St. Joseph,9.444444444444445,Good,green
Joplin,34.07407407407407,Good,green
LINCOLN,14.672364672364672,Good,green
MONROE,4.382716049382716,Good,green
ST. LOUIS (CITY),14.641975308641975,Good,green
FERGUS,5.698005698005699,Good,green
FLATHEAD,18.233618233618234,Good,green
MISSOULA,9.615384615384615,Good,green
PHILLIPS,20.655270655270655,Good,green
POWDER RIVER,35.95679012345679,Good,green
RICHLAND,16.168091168091166,Good,green
ROSEBUD,8.333333333333334,Good,green
SANDERS,20.37037037037037,Good,green
SILVER BOW,7.264957264957265,Good,green
Las Vegas-Paradise,22.80324074074074,Good,green
ELKO,25.14245014245014,Good,green
LYON,19.246031746031747,Good,green
NYE,16.537037037037038,Good,green
Reno-Sparks,15.529439696106362,Good,green
Manchester-Nashua,7.407407407407407,Good,green
ROCKINGHAM,7.557870370370372,Good,green
New York-Northern New Jersey-Long Island,12.160493827160494,Good,green
UNION,2.7910052910052916,Good,green
Albuquerque,37.10722819593787,Good,green
Las Cruces,30.77485380116959,Good,green
Deming,31.25,Good,green
Farmington,7.638888888888889,Good,green
Fayetteville,28.189300411522634,Good,green
Durham,37.67429193899782,Good,green
Winston-Salem,31.455761316872422,Good,green
Greensboro-High Point,30.041152263374485,Good,green
Raleigh-Cary,34.053497942386834,Good,green
Kinston,25.874485596707817,Good,green
Charlotte-Gastonia-Concord,29.732510288065846,Good,green
Wilmington,30.972222222222232,Good,green
Greenville,20.105820105820108,Good,green
Cleveland-Elyria-Mentor,30.306712962962965,Good,green
ADAIR,19.135802469135804,Good,green
Oklahoma City,36.16898148148148,Good,green
Ardmore,37.73148148148148,Good,green
Lawton,32.75462962962963,Good,green
Tulsa,26.880787037037038,Good,green
DEWEY,26.049382716049383,Good,green
Ponca City,51.98989898989899,Moderate,yellow
McAlester,23.78472222222222,Good,green
TULSA,25.52706552706552,Good,green
JACKSON,14.068287037037038,Good,green
PHILADELPHIA,8.73263888888889,Good,green
Charleston-North Charleston,22.354497354497354,Good,green
BROOKINGS,6.359953703703704,Good,green
CODINGTON,5.856481481481481,Good,green
CUSTER,8.119212962962964,Good,green
Rapid City,24.198495370370374,Good,green
El Paso,26.14506172839506,Good,green
Kennewick-Richland-Pasco,18.874643874643873,Good,green
Spokane,10.280280280280282,Good,green
STEVENS,22.293447293447294,Good,green
Walla Walla,25.4985754985755,Good,green
Yakima,10.042735042735043,Good,green
Madison,8.732193732193732,Good,green
DODGE,9.052706552706551,Good,green
EAU CLAIRE,13.019943019943021,Good,green
Milwaukee-Waukesha-West Allis,10.178062678062679,Good,green
MILWAUKEE,9.586894586894589,Good,green
Baraboo,9.430199430199433,Good,green
CONVERSE,8.425925925925926,Good,green
Riverton,10.0,Good,green
JOHNSON,12.685185185185185,Good,green
Cheyenne,10.37037037037037,Good,green
Sheridan,10.524691358024691,Good,green
SUBLETTE,32.65993265993266,Good,green
Rock Springs,30.787037037037038,Good,green
SWEETWATER,25.925925925925927,Good,green
CATANO,14.293981481481481,Good,green
INYO,12.870370370370368,Good,green
DELTA,9.085648148148149,Good,green
SOMERSET,8.657407407407407,Good,green
WORCESTER,8.842592592592593,Good,green
DUNN,25.185185185185183,Good,green
Sioux Falls,4.537037037037036,Good,green
N/A,54.42929292929293,Moderate,yellow
Madera,28.00925925925926,Good,green
SAN JOAQUIN,28.680555555555554,Good,green
Valdosta,19.603174603174605,Good,green
BANNOCK,76.56060606060606,Moderate,yellow
